"tract","Name","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall"
42101024800,"East Germantown, Philadelphia, PA",0.8498
42045403103,"Collingdale, PA",0.8495
42101008101,"Angora, Philadelphia, PA",0.8489
34007605400,"Mount Ephraim, NJ",0.8489
42101034702,"Northeast Philadelphia, Philadelphia, PA",0.8488
42101034100,"Fox Chase/ Burholme, Philadelphia, PA",0.8486
42101020500,"North Philadelphia, Philadelphia, PA",0.8481
42101009100,"West Powelton, Philadelphia, PA",0.848
42045404103,"Ridley Park, PA",0.848
42101021100,"Northwest Philadelphia, Philadelphia, PA",0.8474
42101026200,"North Philadelphia, Philadelphia, PA",0.8472
42101019501,"Fairhill, Philadelphia, PA",0.8471
42101026301,"North Philadelphia, Philadelphia, PA",0.847
42101016400,"North Philadelphia, Philadelphia, PA",0.847
42101009600,"Haddington, Philadelphia, PA",0.8468
42101020200,"North Philadelphia, Philadelphia, PA",0.8468
34015500201,"West Deptford, NJ",0.8465
42101011100,"Carroll Park, Philadelphia, PA",0.846
42101006900,"Southwest Philadelphia, Philadelphia, PA",0.8459
42101028300,"Logan/ Ogontz/ Fern Rock, Philadelphia, PA",0.8457
42101000200,"Center City, Philadelphia, PA",0.8449
42101021900,"Roxborough-Manayunk, Philadelphia, PA",0.8444
42101011200,"Carroll Park, Philadelphia, PA",0.8443
42101008301,"Cobbs Creek, Philadelphia, PA",0.8441
42101008200,"Angora, Philadelphia, PA",0.844
42101038000,"Frankford, Philadelphia, PA",0.8439
42101017201,"Allegheny West, Philadelphia, PA",0.8435
34007607200,"Runnemede, NJ",0.8433
42045403001,"Briarcliffe, Glenolden, PA",0.8431
34007605300,"Brooklawn, NJ",0.843
34007610400,"Lanning Square, Camden, NJ",0.8427
42101017900,"North Philadelphia, Philadelphia, PA",0.8425
42101010000,"West Philadelphia, Philadelphia, PA",0.8425
42101025300,"East Mount Airy, Philadelphia, PA",0.8422
34007601800,"Waterfront South, Camden, NJ",0.8421
42101017800,"North Philadelphia, Philadelphia, PA",0.8416
42101031102,"Oxford Circle/ Castor, Philadelphia, PA",0.8415
42101029300,"Frankford, Philadelphia, PA",0.8415
42101031502,"Mayfair, Philadelphia, PA",0.8412
42101021000,"Manayunk, Philadelphia, PA",0.8407
42101002801,"South Philadelphia, Philadelphia, PA",0.8407
42045403501,"Glenolden, PA",0.8407
34007600800,"Pyne Poynt, Camden, NJ",0.8406
42101018001,"North Philadelphia, Philadelphia, PA",0.8405
42101020900,"Northwest Philadelphia, Philadelphia, PA",0.8405
42101008400,"Cobbs Creek, Philadelphia, PA",0.8398
42017100307,"Croydon, PA",0.8398
42101027402,"North Philadelphia, Philadelphia, PA",0.8397
42101017602,"Fairhill, Philadelphia, PA",0.8397
42101037200,"South Philadelphia, Philadelphia, PA",0.8395
42101026700,"North Philadelphia, Philadelphia, PA",0.8391
42101031501,"Mayfair, Philadelphia, PA",0.8388
42101002400,"Bella Vista, Philadelphia, PA",0.8388
42045401401,"Drexel Hill, Upper Darby, PA",0.8382
42101036302,"Northeast Philadelphia, Philadelphia, PA",0.8382
42101030100,"Frankford, Philadelphia, PA",0.8382
34007611700,"Mount Ephraim, NJ",0.8381
42101014500,"Ludlow, Philadelphia, PA",0.838
42101016300,"North Philadelphia, Philadelphia, PA",0.8375
34015500100,"Westville, NJ",0.8373
42101008500,"Cobbs Creek, Philadelphia, PA",0.8372
42101009400,"Haddington, Philadelphia, PA",0.8369
