tract,Name,%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall,Individual Income,,,,
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.8476,21003,,,, Baltimore
24510270801,"Idlewood, Baltimore, MD",0.8474,26874,,,, Baltimore
24510240400,"Riverside Park, Baltimore, MD",0.847,27057,,,, Baltimore
24510270802,"Ramblewood, Baltimore, MD",0.8466,28407,,,, Baltimore
24005441000,"Baltimore, MD",0.8463,,,,,#VALUE!
24510130100,"Reservoir Hill, Baltimore, MD",0.846,15921,,,, Baltimore
24510151100,"East Arlington, Baltimore, MD",0.8454,26312,,,, Baltimore
24510150701,"Hanlon Longwood, Baltimore, MD",0.8453,23244,,,, Baltimore
24510280302,"West Forest Park, Baltimore, MD",0.8434,24058,,,, Baltimore
24005420200,"Dundalk, MD",0.8429,,,,,#VALUE!
24510080101,"Belair - Edison, Baltimore, MD",0.8422,27120,,,, Baltimore
24510280301,"Gwynn Oak, Baltimore, MD",0.8418,24477,,,, Baltimore
24005420702,"Dundalk, MD",0.8403,,,,,#VALUE!
24005402403,"Gwynn Oak, Baltimore, MD",0.8396,31968,,,, Baltimore
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.8388,24958,,,, Baltimore
24510280101,"Reisterstown Station, Baltimore, MD",0.8372,22077,,,, Baltimore
24510280200,"Gwynn Oak, Baltimore, MD",0.8372,25949,,,, Baltimore
24510250600,"Brooklyn, Baltimore, MD",0.837,17457,,,, Baltimore
24510120600,"Old Goucher, Baltimore, MD",0.8358,19414,,,, Baltimore
24510280102,"Gwynn Oak, Baltimore, MD",0.8342,23149,,,, Baltimore
24510090400,"Better Waverly, Baltimore, MD",0.8336,21902,,,, Baltimore
24005452400,"Dundalk, MD",0.8327,,,,,#VALUE!
24005450100,"Rosedale, MD",0.8307,,,,,#VALUE!
24510270902,"Perring Loch, Baltimore, MD",0.8299,27017,,,, Baltimore
24510260800,"Baltimore Highlands, Baltimore, MD",0.8296,22071,,,, Baltimore
24005421300,"Dundalk, MD",0.8291,,,,,#VALUE!
24510270805,"Mid-Govans, Baltimore, MD",0.8268,25372,,,, Baltimore
24510260101,"Cedmont, Baltimore, MD",0.8257,27213,,,, Baltimore
24510230200,"South Baltimore, Baltimore, MD",0.8255,24138,,,, Baltimore
24510260401,"Armistead Gardens, Baltimore, MD",0.8251,21070,,,, Baltimore
24510200500,"Mill Hill, Baltimore, MD",0.822,14938,,,, Baltimore
24510250303,"Morrell Park, Baltimore, MD",0.8219,23272,,,, Baltimore
24510280401,"Baltimore, MD",0.8201,,,,,#VALUE!
24005441102,"Rosedale, MD",0.82,,,,,#VALUE!
24510260501,"Joseph Lee, Baltimore, MD",0.819,26814,,,, Baltimore
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.8186,27141,,,, Baltimore
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.8177,,,,, Halethorpe
24510260201,"Frankford, Baltimore, MD",0.8175,23780,,,, Baltimore
24005420800,"Dundalk, MD",0.8157,,,,,#VALUE!
24510270903,"Hillen, Baltimore, MD",0.8154,27612,,,, Baltimore
24510261100,"Canton, Baltimore, MD",0.8149,27541,,,, Baltimore
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.8133,,,,, Lansdowne
24510130804,"Hampden, Baltimore, MD",0.8129,22770,,,, Baltimore
24005420600,"Baltimore, MD",0.8112,,,,,#VALUE!
24510270803,"Loch Raven, Baltimore, MD",0.8105,26856,,,, Baltimore
24510020100,"Upper Fells Point, Baltimore, MD",0.8098,22647,,,, Baltimore
24510010300,"Canton, Baltimore, MD",0.8093,24983,,,, Baltimore
24005420500,"Baltimore, MD",0.8074,,,,,#VALUE!
24005440900,"Rosedale, MD",0.8071,,,,,#VALUE!
24510250401,"Brooklyn, Baltimore, MD",0.807,22234,,,, Baltimore
24005492101,"Parkville, MD",0.8057,,,,,#VALUE!
24003750102,"Baltimore, MD",0.8051,,,,,#VALUE!
24510250206,"Morrell Park, Baltimore, MD",0.8038,25518,,,, Baltimore
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.802,15614,,,, Baltimore
24005430400,"Halethorpe, MD",0.8017,,,,,#VALUE!
24510190200,"Pratt Monroe, Baltimore, MD",0.7993,16632,,,, Baltimore
24005420303,"Dundalk, MD",0.799,,,,,#VALUE!
