"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
34005700502,"Moorestown-Lenola, Moorestown, NJ",35369
34007608206,"Camden County, NJ",35360
34005704004,"Marlton, Evesham Township, NJ",35307
34015500201,"West Deptford, NJ",35276
42045401401,"Drexel Hill, Upper Darby, PA",35258
42101034801,"Northeast Philadelphia, Philadelphia, PA",35243
42091201703,"Glenside, PA",35211
34015500500,"Gibbstown, Greenwich Township, NJ",35187
34007604600,"Oaklyn, NJ",35133
34007603100,"Merchantville, NJ",35125
42101000801,"Center City, Philadelphia, PA",35020
42101033500,"Northeast Philadelphia, Philadelphia, PA",34966
42101031501,"Mayfair, Philadelphia, PA",34956
42101023500,"Mount Airy, Philadelphia, PA",34874
42101030700,"Lawncrest, Philadelphia, PA",34852
42091210600,"Plymouth Meeting, PA",34846
42101026900,"North Philadelphia, Philadelphia, PA",34805
42101000902,"Center City, Philadelphia, PA",34793
42045410500,"Upper Darby, PA",34764
42045403701,"Essington, Tinicum Township, PA",34717
42101032600,"Northeast Philadelphia, Philadelphia, PA",34683
34007605700,"Audubon, NJ",34644
42101036100,"Northeast Philadelphia, Philadelphia, PA",34628
42101033102,"Holmesburg, Philadelphia, PA",34554
34007603700,"Erlton-Ellisburg, Cherry Hill, NJ",34545
34005700603,"Delran, NJ",34536
34005700800,"Delanco, NJ",34468
42101035301,"Morrell Park, Philadelphia, PA",34455
42101033701,"Northeast Philadelphia, Philadelphia, PA",34433
42045403601,"Norwood, PA",34422
34007604300,"Collingswood, NJ",34397
42045401502,"Clifton Heights, PA",34387
42101021100,"Northwest Philadelphia, Philadelphia, PA",34377
42045404004,"Morton, PA",34374
42091201704,"Glenside, PA",34341
42017100105,"Bensalem, PA",34324
34007607600,"Gibbsboro, NJ",34324
34007607507,"Echelon, Voorhees Township, NJ",34301
42101034000,"Fox Chase/ Burholme, Philadelphia, PA",34244
42045403001,"Briarcliffe, Glenolden, PA",34238
34007607200,"Runnemede, NJ",34218
34005700408,"Maple Shade Township, NJ",34198
42101000200,"Center City, Philadelphia, PA",34182
42101033900,"Fox Chase/ Burholme, Philadelphia, PA",34177
42091204007,"Conshohocken, PA",34171
42101031000,"Oxford Circle/ Castor, Philadelphia, PA",34146
42017100207,"Bensalem, PA",34084
34005700102,"Palmyra, NJ",34041
42101021600,"Northwest Philadelphia, Philadelphia, PA",34021
34007611700,"Mount Ephraim, NJ",34008
34007603301,"Cherry Hill, NJ",33996
42101025800,"North Philadelphia, Philadelphia, PA",33966
34005700303,"Cinnaminson, NJ",33964
42045403501,"Glenolden, PA",33945
42101000700,"Center City, Philadelphia, PA",33926
42101037900,"North Philadelphia, Philadelphia, PA",33919
34015500205,"Thorofare, West Deptford, NJ",33826
42045403002,"Briarcliffe, Glenolden, PA",33794
42101037300,"Packer Park, Philadelphia, PA",33784
34005701002,"Beverly, NJ",33765
42045401101,"Drexel Hill, Upper Darby, PA",33714
42101021900,"Roxborough-Manayunk, Philadelphia, PA",33674
34007607100,"Runnemede, NJ",33663
42101021500,"Manayunk, Philadelphia, PA",33605
42045410601,"Folsom, PA",33595
42101020800,"East Falls, Philadelphia, PA",33559
34007604200,"Collingswood, NJ",33537
42091204008,"Conshohocken, PA",33348
42101037500,"Overbrook, Philadelphia, PA",33331
42101020700,"East Falls, Philadelphia, PA",33324
42045401800,"Lansdowne, PA",33310
42101032000,"Northeast Philadelphia, Philadelphia, PA",33295
34007610900,"Audubon, NJ",33278
