"tract","Name","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall"
24005401200,"Woodlawn, MD",0.775
24005430700,"Halethorpe, MD",0.7738
24510250402,"Brooklyn, Baltimore, MD",0.7736
24005420701,"Dundalk, MD",0.7694
24005401102,"Gwynn Oak, Woodlawn, MD",0.7692
24005411303,"Nottingham, MD",0.769
24510270302,"Waltherson, Baltimore, MD",0.7689
24005440500,"Nottingham, MD",0.7686
24005491600,"Parkville, MD",0.7676
24005403201,"Gwynn Oak, Lochearn, MD",0.7671
24510130600,"Hampden, Baltimore, MD",0.7665
24005401101,"Woodlawn, MD",0.7645
24510250500,"Curtis Bay, Baltimore, MD",0.7643
24005411408,"Nottingham, MD",0.7618
24005411407,"Parkville, MD",0.7611
24005440702,"Rosedale, MD",0.761
24510270703,"North Harford Road, Baltimore, MD",0.7606
24005402305,"Lochearn, Pikesville, MD",0.7599
24005440300,"Nottingham, MD",0.7596
24510240100,"Locust Point, Baltimore, MD",0.7585
24510130803,"Medfield, Baltimore, MD",0.7585
24510270501,"Woodring, Baltimore, MD",0.7576
24510010100,"Canton, Baltimore, MD",0.7552
24003750300,"Linthicum Heights, MD",0.7548
24005430900,"Baltimore, MD",0.7521
24510270200,"Lauraville, Baltimore, MD",0.748
24510130700,"Hampden, Baltimore, MD",0.7476
24005403100,"Gwynn Oak, Pikesville, MD",0.7474
24005440100,"Baltimore, MD",0.746
24510250103,"Violetville, Baltimore, MD",0.7418
24003750202,"Brooklyn Park, MD",0.7411
24510240200,"Riverside, Baltimore, MD",0.7392
24005403402,"Pikesville, MD",0.7373
24510270502,"North Harford Road, Baltimore, MD",0.7369
24510030200,"Little Italy, Baltimore, MD",0.7359
24005440200,"Nottingham, MD",0.7355
24005411307,"Nottingham, MD",0.735
24005403202,"Gwynn Oak, Baltimore, MD",0.7315
24005400702,"Baltimore, MD",0.7307
24005411306,"Nottingham, MD",0.7292
24510271101,"Radnor - Winston, Baltimore, MD",0.7263
24005492001,"Parkville, MD",0.7262
24005411308,"Nottingham, MD",0.724
24005492102,"Parkville, MD",0.7238
24003750400,"Linthicum Heights, MD",0.7235
24005491402,"Parkville, MD",0.7172
24005400701,"Catonsville, MD",0.7163
24003751200,"Linthicum Heights, MD",0.7148
24005491202,"Towson, MD",0.7128
24005400600,"Catonsville, MD",0.7091
24510270804,"Lake Walker, Baltimore, MD",0.7024
24510120201,"Baltimore, MD",0.7021
24510140100,"Bolton Hill, Baltimore, MD",0.694
24005400100,"Catonsville, MD",0.6938
24510010500,"Upper Fells Point, Baltimore, MD",0.6837
24005491100,"Baltimore, MD",0.681
24510130805,"Cold Springs, Baltimore, MD",0.672
24027601201,"Elkridge, MD",0.6713
24510272007,"Fallstaff, Baltimore, MD",0.6712
24027601104,"Ellicott City, MD",0.6703
24510110200,"Downtown, Baltimore, MD",0.6677
24510110100,"Downtown, Baltimore, MD",0.6657
24510220100,"Baltimore, MD",0.6652
24510272003,"Baltimore, MD",0.6606
24510040100,"Downtown, Baltimore, MD",0.6568
24005400200,"Catonsville, MD",0.6549
24005491300,"Baltimore, MD",0.6533
24005403300,"Lochearn, Pikesville, MD",0.6464
24005400400,"Catonsville, MD",0.6458
24005490900,"Towson, MD",0.6374
